,image_id,predicted_caption,bleu_1,bleu_2,bleu_3,bleu_4
0,3545652636_0746537307,the soccer player in red is trying to kick the ball,0.8181818181818182,0.5720775535473553,0.4347315675140916,0.35428187694025043
1,2101457132_69c950bc45,black dog jumps out of the water,0.5714285714285714,0.3086066999241838,0.27877326803479224,0.24733285534158797
2,2393264648_a280744f97,two girls are in the ocean,0.3032653298563167,0.19180183554164504,0.16917083417430523,0.14861968311443025
3,2077079696_03380d218b,man is standing on rock with the red and white and red hat and red shorts is standing on rock,0.3499999999999999,0.1357241785076592,0.17428155242428975,0.18108544619909936
4,3061481868_d1e00b1f2e,motorcycle rider crouches while being ridden by spectators,0.11031211282307446,0.16909939515245356,0.18181538356555874,0.17488999199871522
5,3595643050_d312e4b652,large dog catches ball in its mouth,0.7142857142857143,0.5976143046671969,0.5261597794341889,0.4347208719449914
6,150387174_24825cf871,man is riding bike on dirt path,0.8571428571428571,0.6546536707079771,0.4445366367539936,0.35221626881853485
7,180506881_de0f59770f,man in white shirt and brown pants is holding sign,0.2,0.25112186556673066,0.25074269839893976,0.23252324097940982
8,241031254_0c6f30e3d1,man and little girl in red shirt and shorts are standing in wooded area,0.5,0.33968311024337877,0.3130801117575164,0.2789273905948327
9,3470951932_27ed74eb0b,baseball player throwing the ball,0.6,0.3872983346207417,0.3121939713384471,0.26335227287021584
10,54501196_a9ac9d66f2,man stands on hill overlooking the ocean,0.5714285714285714,0.3086066999241838,0.27877326803479224,0.24733285534158797
11,280706862_14c30d734a,black dog retrieves an object in its mouth,0.6618726769384466,0.5777298366654254,0.46433437561526564,0.3628241434631103
12,3358558292_6ab14193ed,three young people pose for picture at the camera,0.2982797722714565,0.28545596797877226,0.26062746251734975,0.23191292275041653
13,2461616306_3ee7ac1b4b,young boy jumping into pool,1.0,0.8660254037844387,0.5309878867014042,0.39380350026831556
14,3558370311_5734a15890,man on bike in midair,0.6703200460356393,0.33516002301781966,0.24769475302338614,0.20057715434761203
15,3232470286_903a61ea16,football player kissing the ball as an opposing tries to be the ball,0.46153846153846156,0.2773500981126146,0.27261202703073195,0.250464054489746
16,3347798761_5c5260b000,bike rider catches some air while others watch,0.375,0.23145502494313785,0.23337930992922906,0.21780640299346554
17,3432550415_e7b77232de,boy is doing tricks on his bike,0.6191984998215584,0.4229931028018367,0.3174136242379461,0.2636023131721885
